Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,league
北條　史也,Tigers,2e3,内野手,6,177,78,O型,右,右,大阪,1994-07-29,2,0.328,48,199,177,58,1,18,1,15,1,25,3,5,0.378,0.39,0.767,5.48,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
大山　悠輔,Tigers,2500,内野手,2,181,84,O型,右,右,茨城,1994-12-19,3,0.223,82,220,202,45,2,19,1,14,1,34,1,10,0.274,0.317,0.591,2.36,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
熊谷　敬宥,Tigers,1e3,内野手,1,173,70,A型,右,両,宮城,1995-11-10,4,0.231,17,18,13,3,0,2,3,2,0,3,3,1,0.333,0.231,0.564,2.12,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
西岡　剛,Tigers,7500,内野手,14,182,81,A型,右,両,大阪,1984-07-27,5,0.152,18,36,33,5,0,1,0,3,0,6,0,0,0.222,0.242,0.465,1.52,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
糸井　嘉男,Tigers,4e4,外野手,15,188,98,A型,右,左,京都,1981-07-31,7,0.31,95,408,335,104,15,60,16,63,6,50,0,8,0.424,0.499,0.923,8.13,7.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
福留　孝介,Tigers,22e3,外野手,15,182,90,B型,右,左,鹿児島,1977-04-26,8,0.279,95,392,323,90,12,56,0,58,5,68,0,8,0.39,0.471,0.861,6.63,6.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
髙山　俊,Tigers,3800,外野手,3,181,89,O型,右,左,千葉,1993-04-18,9,0.183,41,126,120,22,1,14,0,4,1,18,0,4,0.214,0.25,0.464,0.96,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
坂本　誠志郎,Tigers,1600,捕手,3,176,78,O型,右,右,兵庫,1993-11-10,12,0.222,9,11,9,2,0,0,0,2,0,4,0,0,0.364,0.333,0.697,4.93,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
岡本　洋介,Tigers,2300,投手,9,177,80,A型,右,右,和歌山,1985-09-27,13,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46,0,0,0,0,0,115,26,29,1,8,4,12,10,10,1.42,3.97,C
能見　篤史,Tigers,12e3,投手,14,180,72,AB型,左,左,兵庫,1979-05-28,14,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32,2,2,1,10,0.5,159,38,32,5,13,2,35,20,14,1.18,4.17,C
